date,Position_Change
2019-03-15,1.0
2019-03-28,-2.0
2019-04-16,2.0
2019-05-24,-2.0
2019-07-17,2.0
2019-08-16,-2.0
2019-12-02,2.0
2020-01-22,-2.0
2020-03-04,2.0
2020-05-18,-2.0
2020-06-30,2.0
2020-11-04,-2.0
2020-12-25,2.0
2021-02-19,-2.0
2021-03-15,2.0
2021-04-21,-2.0
2021-06-08,2.0
2021-07-28,-2.0
2021-09-27,2.0
2021-12-20,-2.0
2022-01-17,2.0
2022-02-14,-2.0
2022-04-25,2.0
2022-07-15,-2.0
2022-07-28,2.0
2022-08-29,-2.0
2023-03-16,2.0
2023-04-17,-2.0
2023-04-25,2.0
2023-06-09,-2.0
2023-08-03,2.0
