date,open,high,low,close,volume
2019-01-02,340.19,340.19,339.3,339.35,5502
2019-01-03,338.93,340.45,338.76,340.11,5039
2019-01-04,340.54,340.92,340.2,340.92,3415
2019-01-07,341.16,341.34,341.02,341.22,4276
2019-01-08,341.31,341.61,341.14,341.28,4328
2019-01-09,341.05,341.52,341.05,341.39,4122
2019-01-10,341.58,342.07,341.58,341.71,4545
2019-01-11,341.59,341.95,341.09,341.12,4918
2019-01-14,340.85,340.85,340.08,340.14,4772
2019-01-15,340.19,340.33,338.78,338.78,3849
2019-01-16,339.27,339.27,338.43,338.78,4233
2019-01-17,338.71,339.0,336.75,336.75,5962
2019-01-18,337.53,337.87,337.27,337.87,4963
2019-01-21,337.92,338.01,337.43,337.92,5273
2019-01-22,338.04,338.04,336.81,336.81,5531
2019-01-23,336.95,336.95,336.07,336.8,4850
2019-01-25,337.23,337.79,337.23,337.59,4512
2019-01-28,336.98,337.91,336.98,337.3,4535
2019-01-29,336.93,337.06,336.47,336.9,4748
2019-01-30,336.71,337.45,336.71,337.09,4933
2019-01-31,337.28,339.55,337.28,339.55,5460
2019-02-01,339.43,339.43,338.14,338.9,7001
2019-02-04,339.11,339.11,338.15,338.15,4613
2019-02-05,338.3,338.98,338.23,338.54,5093
2019-02-06,338.67,340.9,338.67,340.85,5939
2019-02-07,340.78,340.9,340.33,340.9,5560
2019-02-08,340.62,340.79,340.29,340.7,4937
2019-02-11,340.64,340.89,340.33,340.56,4623
2019-02-12,340.71,342.22,340.71,342.07,4857
2019-02-13,342.12,344.14,342.12,342.95,6476
2019-02-14,343.14,343.58,342.86,343.08,4412
2019-02-15,342.96,344.03,342.96,343.55,5071
2019-02-18,344.21,344.28,343.29,343.8,4417
2019-02-19,343.49,343.86,342.99,343.86,5489
2019-02-20,344.15,344.4,343.3,344.35,5565
2019-02-21,344.51,344.51,343.87,343.87,4623
2019-02-22,343.69,343.69,341.96,341.96,6788
2019-02-25,342.31,343.63,342.23,343.48,4551
2019-02-26,343.82,345.04,343.72,345.04,5157
2019-02-27,344.85,345.01,344.15,344.15,5985
2019-02-28,344.04,344.08,343.18,343.59,5192
2019-03-01,343.69,344.13,343.14,343.14,4198
2019-03-04,343.31,343.31,341.96,342.12,5484
2019-03-05,342.15,342.29,341.85,342.11,5193
2019-03-06,342.36,342.63,341.54,341.54,3871
2019-03-08,339.67,339.81,339.45,339.45,4527
2019-03-07,341.43,341.62,339.89,339.89,5650
2019-03-11,339.09,339.43,338.99,339.13,4195
2019-03-12,338.92,339.85,338.92,339.52,4633
2019-03-13,339.48,339.74,338.96,339.63,5741
2019-03-14,339.4,339.4,338.33,338.33,4013
2019-03-15,338.07,339.42,338.07,339.42,3667
2019-03-18,339.46,339.46,338.65,339.05,5274
2019-03-19,338.98,338.98,338.18,338.54,6388
2019-03-20,338.64,339.96,338.64,339.96,4870
2019-03-21,339.79,340.52,339.27,340.52,5982
2019-03-22,340.55,340.84,340.13,340.74,5727
2019-03-25,340.38,340.54,339.79,339.85,5059
2019-03-29,341.1,342.47,340.85,342.47,5062
2019-03-27,339.57,340.39,338.78,340.39,5195
2019-03-28,340.96,341.48,340.96,341.16,4158
2019-03-26,339.8,339.8,339.4,339.55,4099
2019-04-01,342.41,343.46,342.41,343.46,6368
2019-04-02,343.47,344.27,343.47,344.27,5977
2019-04-03,344.28,345.12,344.28,344.68,5674
2019-04-04,344.49,345.41,343.99,345.09,5336
2019-04-05,344.91,345.0,343.73,343.73,4618
08-04-2019,343.65,344.2,343.39,343.39,5246
09-04-2019,343.08,344.19,343.08,343.92,4819
2019-04-10,343.82,344.36,343.04,343.07,5112
2019-04-11,343.1,343.77,342.5,342.7,4928
2019-04-12,342.57,343.31,342.57,343.09,5341
2019-04-15,342.63,342.79,342.01,342.33,5189
2019-04-16,341.83,342.36,339.96,340.29,6379
2019-04-19,339.25,339.25,338.65,338.92,6353
2019-04-18,339.67,339.74,338.86,339.46,5257
2019-04-17,340.25,340.51,339.51,339.51,6155
2019-04-22,338.71,340.89,338.71,340.89,5422
