date,trade_delta,fill_price,transaction_cost,slippage_cost,total_cost_frac
2018-01-10,1.0,249.67,0.0005,0.0003664837585613035,0.0008664837585613035
2018-04-18,-1.0,260.43,0.0005,0.000988749376031943,0.001488749376031943
2018-05-17,1.0,276.34,0.0005,0.000555475139321125,0.0010554751393211251
2018-06-04,-1.0,261.8,0.0005,0.0008479755538579064,0.0013479755538579065
2018-06-27,1.0,270.71,0.0005,0.0007369509807543146,0.0012369509807543147
2018-07-06,-1.0,259.08,0.0005,0.0010286398023776411,0.0015286398023776411
2018-09-19,1.0,256.2,0.0005,0.0002263856362217067,0.0007263856362217067
2019-04-19,-1.0,276.5,0.0005,0.0012242314647377907,0.0017242314647377907
2019-06-06,1.0,295.16,0.0005,0.0013823011248136645,0.0018823011248136645
2019-07-31,-1.0,289.34,0.0005,0.0002436579802308746,0.0007436579802308746
2019-11-29,1.0,270.34,0.0005,0.0002459865354738554,0.0007459865354738554
2019-12-04,-1.0,265.2,0.0005,0.000952111613876322,0.001452111613876322
2019-12-05,1.0,268.93,0.0005,0.00048525638642025006,0.00098525638642025
2019-12-09,-1.0,265.51,0.0005,0.0006157960152160068,0.001115796015216007
2019-12-12,1.0,271.81,0.0005,0.0013281336227511915,0.0018281336227511916
2019-12-13,-1.0,265.88,0.0005,0.0008462464269595306,0.0013462464269595306
2019-12-16,1.0,268.04,0.0005,0.002225414117295927,0.002725414117295927
2019-12-30,-1.0,253.75,0.0005,0.0006187192118226574,0.0011187192118226573
2020-01-21,1.0,276.78,0.0005,0.00018245537972396688,0.0006824553797239669
2020-01-30,-1.0,257.0,0.0005,0.0006517509727626393,0.0011517509727626393
2020-02-11,1.0,275.26,0.0005,0.0007719973842912156,0.0012719973842912156
2020-02-24,-1.0,258.15,0.0005,0.0014933178384660044,0.0019933178384660046
2020-02-27,1.0,267.86,0.0005,0.0007503919958187185,0.0012503919958187185
2020-07-31,-1.0,280.48,0.0005,0.00031374786081003834,0.0008137478608100383
2020-09-14,1.0,294.49,0.0005,0.0002750517844408986,0.0007750517844408986
2021-04-15,-1.0,326.34,0.0005,0.00031255745541459274,0.0008125574554145927
2021-04-30,1.0,329.85,0.0005,8.943459148097241e-05,0.0005894345914809724
2021-05-12,-1.0,324.68,0.0005,0.00024947640753973215,0.0007494764075397322
2021-05-26,1.0,330.77,0.0005,0.00042778970281464224,0.0009277897028146422
2021-06-15,-1.0,325.42,0.0005,0.00030729518775735975,0.0008072951877573598
2021-06-21,1.0,329.65,0.0005,0.000565751554679208,0.0010657515546792081
2021-06-22,-1.0,327.11,0.0005,0.00019870991409617737,0.0006987099140961774
2021-08-04,1.0,330.4,0.0005,0.0002845036319612584,0.0007845036319612585
