date,open,high,low,close,volume
2018-01-02,250.67,251.24,248.45,248.56,19604
2018-01-08,248.59,250.59,248.07,249.43,7332
2018-01-04,247.17,247.93,246.94,247.66,5425
2018-01-05,247.18,248.76,247.15,248.55,7179
2018-01-03,248.76,249.02,246.34,247.0,8934
2018-01-09,248.94,250.55,248.52,249.82,7880
2018-01-10,249.67,250.99,249.16,249.7,6248
2018-01-11,250.22,251.59,249.55,251.05,7411
2018-01-12,250.89,252.15,246.21,247.11,9279
2018-01-15,248.26,260.23,247.19,259.62,39797
2018-01-16,258.79,259.43,254.25,254.43,11462
2018-01-17,255.26,256.51,254.23,254.76,5514
2018-01-18,254.07,259.01,253.72,257.92,7972
2018-01-19,257.86,259.82,257.26,258.99,4256
2018-01-22,258.86,259.03,258.03,258.56,6406
2018-01-23,258.45,258.76,254.99,255.17,7422
2018-01-24,255.77,256.36,253.22,253.54,5180
2018-01-25,253.07,253.17,248.83,250.29,11469
2018-01-26,250.53,250.77,247.17,247.43,6906
2018-01-29,246.49,256.63,246.16,255.61,16950
2018-01-30,255.8,257.14,254.53,256.4,5667
2018-01-31,257.5,260.55,257.31,259.97,8520
2018-02-01,259.25,260.63,257.99,260.32,22173
2018-02-02,260.31,261.21,258.8,259.57,6596
2018-02-12,271.5,272.7,267.17,268.46,10702
2018-02-07,253.19,265.61,253.19,265.58,44229
2018-02-08,266.04,266.52,265.15,266.44,6669
2018-02-09,267.03,271.76,266.89,271.4,24157
2018-02-06,255.33,255.98,253.92,253.98,8378
2018-02-13,269.36,269.99,267.43,268.49,6935
2018-02-14,267.95,268.3,266.45,266.69,6988
2018-02-15,266.06,267.6,265.95,266.63,6989
2018-02-16,266.3,267.19,265.2,265.79,4506
2018-02-19,266.27,267.38,264.1,264.85,6181
2018-02-20,264.61,267.73,262.81,266.9,7070
21-02-2018,266.93,267.6,266.36,267.39,5424
2018-02-22,267.67,271.74,267.26,271.1,8927
2018-02-23,272.15,272.26,266.54,268.08,11035
2018-02-26,267.26,272.98,266.55,272.2,9373
2018-02-27,271.65,276.97,271.2,276.68,8516
2018-02-28,277.61,279.19,274.45,275.08,8452
2018-03-01,274.98,280.15,274.42,279.57,9995
2018-03-02,279.33,280.41,278.97,280.41,6382
2018-03-05,280.5,280.89,278.97,280.25,7323
2018-03-06,280.48,280.54,277.6,280.12,5088
2018-03-07,279.51,281.22,277.24,278.63,6102
2018-03-08,278.55,281.6,276.62,281.27,23021
2018-03-09,282.18,283.43,280.35,281.65,15659
2018-03-12,282.83,284.21,281.73,282.65,5619
