signal,horizon,hit_rate,ic,n_obs
PB01,1,0.4903553299492386,-0.0474667142343859,985
PB02,1,0.4984771573604061,-0.0070084211264514525,985
PB03,1,0.5015228426395939,-0.02300288319029634,985
PB04,1,0.49441624365482234,-0.02196806860988347,985
PB05,1,0.4781725888324873,-0.025606649063492536,985
PB06,1,0.4903553299492386,-0.010982599420889926,985
BB01,1,0.4984771573604061,0.046392706611483925,985
BB02,1,0.4852791878172589,0.010337656525654923,985
BB03,1,0.4781725888324873,-0.0511004798582392,985
BB04,1,0.4903553299492386,0.013273963605551008,985
BB05,1,0.4781725888324873,-0.01023527092430094,985
VB01,1,0.46903553299492384,-0.035000979976371825,985
VB02,1,0.4812182741116751,-0.002355007389460151,985
VB03,1,0.49137055837563454,0.017524265613032795,985
VB04,1,0.49949238578680205,0.03635055517910465,985
PB07,1,0.4949186991869919,-0.056316023997751256,984
PB08,1,0.49085365853658536,-0.05182165158944891,984
BB06,1,0.4934010152284264,-0.023829665810480495,985
BB07,1,0.5035532994923858,0.03512239798234955,985
VB05,1,0.46091370558375633,0.02421973498905616,985
PB01,3,0.5091649694501018,-0.062020574919760145,982
PB02,3,0.4989816700610998,-0.015056800923308694,982
PB03,3,0.5061099796334012,-0.01334690359164751,982
PB04,3,0.5,-0.03262144994171682,982
PB05,3,0.49287169042769857,0.005824280030550772,982
PB06,3,0.4775967413441955,-0.032565267314776936,982
BB01,3,0.48370672097759676,0.03191203567839565,982
BB02,3,0.4786150712830957,0.007334669390266962,982
BB03,3,0.4653767820773931,-0.12078389742292657,982
BB04,3,0.48370672097759676,0.06099055001429306,982
BB05,3,0.49490835030549896,-0.022421367591079933,982
VB01,3,0.4653767820773931,-0.054348911801869945,982
VB02,3,0.4938900203665988,-0.01678718226469812,982
VB03,3,0.48676171079429736,0.009395714280224315,982
VB04,3,0.4979633401221996,-0.003637222360216908,982
PB07,3,0.5035677879714577,-0.1031260564593559,981
PB08,3,0.509683995922528,-0.08561744080065994,981
BB06,3,0.5,-0.03611357227176125,982
BB07,3,0.5061099796334012,0.056175066842174805,982
VB05,3,0.4592668024439919,0.014091015353677032,982
PB01,5,0.49183673469387756,-0.08423205613257741,980
PB02,5,0.5020408163265306,-0.01757862021310732,980
PB03,5,0.5020408163265306,-0.04138529782838888,980
PB04,5,0.4969387755102041,-0.05105978192037123,980
PB05,5,0.4887755102040816,-0.029155897065030065,980
PB06,5,0.47244897959183674,-0.04490941810806474,980
BB01,5,0.4714285714285714,0.005490841137240037,980
BB02,5,0.47653061224489796,0.007028956818078315,980
BB03,5,0.4561224489795918,-0.1369916695209169,980
BB04,5,0.4704081632653061,0.07180281750769157,980
BB05,5,0.47959183673469385,-0.03612767315996056,980
VB01,5,0.4714285714285714,-0.03846833210039675,980
VB02,5,0.5,-0.04955097845203525,980
VB03,5,0.47244897959183674,0.011365383398072642,980
VB04,5,0.5122448979591837,0.01183565521863347,980
PB07,5,0.5035750766087844,-0.1436690293318597,979
PB08,5,0.4923391215526047,-0.10126738133044134,979
BB06,5,0.49489795918367346,-0.0704368531956731,980
BB07,5,0.5193877551020408,0.06796891824563761,980
VB05,5,0.4642857142857143,0.027690498320746316,980
PB01,10,0.5010245901639344,-0.07587455502985284,976
PB02,10,0.5030737704918032,-0.01867597830740007,976
PB03,10,0.4805327868852459,-0.08411611312835607,976
PB04,10,0.48770491803278687,-0.0617589104391468,976
PB05,10,0.4733606557377049,-0.07837592854569392,976
PB06,10,0.4733606557377049,-0.06222951798908093,976
BB01,10,0.4672131147540984,-0.04811414638961567,976
BB02,10,0.4764344262295082,0.05442889831949579,976
BB03,10,0.4661885245901639,-0.08734944043476998,976
BB04,10,0.47848360655737704,0.062029747044138356,976
BB05,10,0.4774590163934426,-0.03467556831167146,976
VB01,10,0.47950819672131145,-0.03240640275462735,976
VB02,10,0.48668032786885246,-0.09136893190639063,976
VB03,10,0.4641393442622951,-0.05995971457161213,976
VB04,10,0.48565573770491804,-0.005360752827153712,976
PB07,10,0.48512820512820515,-0.18406771848826115,975
PB08,10,0.5015384615384615,-0.10301588518935972,975
BB06,10,0.4774590163934426,-0.11465117392442399,976
BB07,10,0.5225409836065574,0.06644062450318909,976
VB05,10,0.4764344262295082,-0.001443315802446169,976
PB01,20,0.4906832298136646,-0.06304491932407487,966
PB02,20,0.5113871635610766,-0.04525539469072039,966
PB03,20,0.474120082815735,-0.0380070347888191,966
PB04,20,0.4834368530020704,-0.04404768392117741,966
PB05,20,0.4979296066252588,-0.00581902292646625,966
PB06,20,0.4492753623188406,-0.038355034921985755,966
BB01,20,0.43685300207039335,0.006081388026942768,966
BB02,20,0.4306418219461698,-0.016249559684080775,966
BB03,20,0.42960662525879917,-0.06375448890714325,966
BB04,20,0.42650103519668736,-0.036545262032783896,966
BB05,20,0.43788819875776397,-0.0959775954049065,966
VB01,20,0.4554865424430642,-0.06529034322630757,966
VB02,20,0.4989648033126294,-0.03488248207535563,966
VB03,20,0.42650103519668736,-0.03425043884531578,966
VB04,20,0.5010351966873706,0.0064548309272602,966
PB07,20,0.48704663212435234,-0.13355215991559985,965
PB08,20,0.49119170984455957,-0.12264290208004067,965
BB06,20,0.474120082815735,-0.01619032520128053,966
BB07,20,0.5579710144927537,0.048019844065147504,966
VB05,20,0.4554865424430642,0.010151582632962296,966
