date,PB01,PB02,PB03,PB04,PB05,PB06,PB07,PB08,BB01,BB02,BB03,BB04,BB05,BB06,BB07,VB01,VB02,VB03,VB04,VB05
2018-01-02,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,,,0,0,0,0,
2018-01-03,0,0,0,0,0,0,-0.00603,-0.00035,0,0,0,0,0,,,0,0,0,0,
2018-01-04,0,0,0,0,0,0,-0.00324,-0.00051,0,0,0,0,0,,,0,0,0,0,
2018-01-05,0,0,0,0,0,0,0.00033,-0.00044,0,0,0,0,0,,,0,0,0,0,
2018-01-08,0,0,0,0,0,0,0.00371,-0.00018,0,0,0,0,0,,,0,0,0,0,
2018-01-09,1,1,0,0,1,0,0.00508,0.00013,0,0,0,0,0,,,0,1,0,0,
2018-01-10,1,1,0,0,1,0,0.00441,0.00037,0,0,0,0,0,,,0,1,0,0,
2018-01-11,1,1,0,0,1,0,0.00945,0.00088,0,0,0,0,0,,,0,1,0,0,
2018-01-12,1,1,0,0,0,0,-0.00614,0.00045,0,0,0,0,0,,,0,1,0,0,
2018-01-15,1,1,0,0,1,0,0.04237,0.00276,0,0,0,0,0,,,0,1,0,0,
2018-01-16,1,1,0,0,1,0,0.02067,0.00373,0,0,0,0,0,,,0,1,0,0,
2018-01-17,1,1,0,0,1,0,0.02111,0.00457,0,0,0,0,0,,,0,1,0,0,
2018-01-18,1,1,0,0,1,0,0.03241,0.00592,0,0,0,0,0,,,0,1,0,0,
2018-01-19,1,1,0,0,1,0,0.0352,0.00732,0,0,0,0,0,,0.01408,0,1,0,0,
2018-01-22,1,1,0,0,0,0,0.03213,0.00844,0,0,0,0,0,,0.01361,0,0,0,0,
2018-01-23,1,1,0,0,1,0,0.01785,0.00876,0,0,0,0,0,,0.01409,0,1,0,0,
2018-01-24,1,1,0,0,0,0,0.0109,0.00861,0,0,0,0,0,,0.01479,0,0,0,0,
2018-01-25,1,1,0,0,0,0,-0.00198,0.00778,0,0,0,0,0,,0.01587,0,0,0,0,
2018-01-26,1,1,0,0,0,0,-0.01286,0.00636,0,0,0,0,0,,0.01636,0,0,0,0,
2018-01-29,1,1,1,0,0,0,0.01898,0.00665,0,0,0,0,0,0.38725,0.0182,1,0,0,1,0.67303
